Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
Brown_AA.bin.1	70.72	3.04	Gradient Boost (General Model)	11	0.911	8491	296.0923121723937	3344105	0.36	3434	497	30439	None
Brown_AA.bin.2	81.23	1.33	Gradient Boost (General Model)	11	0.94	3801	255.3069105691057	2797744	0.67	3444	847	16564	None
Brown_AA.bin.3	91.76	0.64	Neural Network (Specific Model)	11	0.788	8873	282.8684863523573	6929295	0.44	6448	1010	40583	None
Brown_AA.bin.4	65.78	2.35	Gradient Boost (General Model)	11	0.92	5108	294.1386520503451	4712174	0.57	4926	1031	23697	None
Brown_AA.bin.5	57.96	1.79	Gradient Boost (General Model)	11	0.903	3477	272.65504358655045	2904519	0.64	3212	952	12715	None
Brown_AA.bin.6	71.47	6.23	Gradient Boost (General Model)	11	0.935	4588	265.44278903456495	2848259	0.61	3356	722	26821	None
Brown_AB.bin.1	77.53	0.56	Gradient Boost (General Model)	11	0.9	8400	308.0678537054861	4258907	0.59	4156	618	52952	None
Brown_AC.bin.1	92.67	1.92	Gradient Boost (General Model)	11	0.877	32404	324.11887108347287	4627924	0.57	4181	220	151521	None
Brown_AC.bin.3	72.2	6.71	Gradient Boost (General Model)	11	0.868	12241	317.7099979720138	5401547	0.57	4931	517	69499	None
Brown_AD.bin.1	50.42	2.33	Neural Network (Specific Model)	11	0.923	2309	261.98599137931035	2365472	0.52	2784	1057	8752	None
Brown_AD.bin.3	97.35	0.25	Gradient Boost (General Model)	11	0.871	15169	312.3005350081414	4618264	0.43	4299	446	67262	None
Brown_AD.bin.5	83.88	3.04	Gradient Boost (General Model)	11	0.922	7281	277.4473539140022	3267827	0.71	3628	595	41744	None
Brown_AD.bin.6	98.99	0.98	Gradient Boost (General Model)	11	0.938	32609	331.2362650899236	4288641	0.62	4059	215	89952	None
Brown_AD.bin.9	45.84	1.78	Gradient Boost (General Model)	11	0.925	3910	251.74388489208633	1698341	0.71	2085	487	21646	None
Brown_AE.bin.1	91.25	0.7	Neural Network (Specific Model)	11	0.781	11940	295.09136781402054	6281619	0.46	5549	758	57210	None
Brown_AE.bin.11	91.41	5.04	Gradient Boost (General Model)	11	0.847	62625	323.04407407407405	6172589	0.52	5400	159	176614	None
Brown_AE.bin.2	96.87	0.25	Neural Network (Specific Model)	11	0.898	68639	356.0929214929215	4612817	0.58	3885	98	206648	None
Brown_AE.bin.3	61.89	1.38	Gradient Boost (General Model)	11	0.909	3493	253.077667553835	3440118	0.63	4133	1089	17496	None
Brown_AE.bin.4	47.93	2.03	Gradient Boost (General Model)	11	0.926	5453	289.562980030722	2436617	0.65	2604	518	15751	None
Brown_AE.bin.5	96.56	0.16	Neural Network (Specific Model)	11	0.897	59919	351.55481049562684	4025413	0.6	3430	120	170797	None
Brown_AE.bin.6	82.43	1.24	Gradient Boost (General Model)	11	0.918	8320	285.8916189835072	2767827	0.68	2971	455	30112	None
Brown_AE.bin.7	76.5	2.41	Gradient Boost (General Model)	11	0.906	5154	272.96849953401676	4834898	0.56	5365	1107	19704	None
Brown_AE.bin.8	81.11	3.76	Neural Network (Specific Model)	11	0.859	4785	263.8867117117117	4086885	0.49	4440	1060	24012	None
Brown_AF.bin.2	57.5	2.34	Gradient Boost (General Model)	11	0.892	4372	259.01301179736294	5010977	0.67	5764	1279	20153	None
Brown_AF.bin.4	55.25	9.51	Neural Network (Specific Model)	11	0.917	4716	295.50828729281767	2445357	0.64	2534	555	18774	None
Brown_AF.bin.5	51.41	7.74	Gradient Boost (General Model)	11	0.91	3006	246.2575845974329	2774471	0.65	3428	975	11027	None
Brown_J.bin.1	82.32	0.47	Gradient Boost (General Model)	11	0.877	13377	314.812	3764592	0.62	3500	429	82726	None
Brown_J.bin.2	91.43	7.26	Gradient Boost (General Model)	11	0.852	23814	316.455722719482	5840425	0.48	5251	408	109673	None
Brown_J.bin.3	96.56	1.71	Gradient Boost (General Model)	11	0.868	16885	343.63960749330954	5315454	0.59	4484	425	65946	None
Brown_J.bin.4	69.28	1.51	Gradient Boost (General Model)	11	0.915	12944	299.0791814946619	3300980	0.68	3372	314	73509	None
Brown_J.bin.5	96.09	0.87	Gradient Boost (General Model)	11	0.893	11128	301.6059620596206	3730791	0.43	3690	450	57886	None
Brown_J.bin.6	93.92	1.85	Gradient Boost (General Model)	11	0.891	12565	301.9258459323254	4228540	0.39	4167	499	58695	None
Brown_J.bin.7	83.79	0.87	Gradient Boost (General Model)	11	0.909	11785	305.3580404685836	4719289	0.64	4695	516	48769	None
