Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
GCF_010729665.1	Brown_M.bin.6	92.77	22.54	43.92	NZ_AP022610.1 Mycolicibacterium madagascariense strain JCM 13574 chromosome	Brown_NODE_1363_length_9788_cov_3.356930
GCA_903970385.1	Brown_AA.bin.2	98.57	69.02	80.43	CAJCIN010000001.1 Rhodospirillales bacterium isolate BOG_genome_mining.22 genome assembly, contig: k141_9411318, whole genome shotgun sequence	Brown_NODE_165_length_16564_cov_4.575020
GCA_014201335.1	Brown_AC.bin.1	90.00	45.92	61.31	JACHEB010000001.1 Edaphobacter lichenicola strain X5P2 Ga0401175_01, whole genome shotgun sequence	Brown_NODE_1_length_151521_cov_8.410587
GCA_002863225.1	Brown_K.bin.8	86.84	12.31	20.09	PKEK01000039.1 MAG: Mycobacterium sp. isolate Actino1 c_000000000002, whole genome shotgun sequence	Brown_NODE_224_length_23279_cov_5.365010
GCF_001673405.1	Brown_K.bin.8	86.44	10.62	16.38	NZ_LZLV01000001.1 Mycobacterium sp. 1245111.1 contig_1, whole genome shotgun sequence	Brown_NODE_224_length_23279_cov_5.365010
GCA_016082275.1	Brown_P.bin.5	90.78	17.66	34.61	MOWM01000001.1 Variovorax sp. E3 contig00001, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_900100965.1	Brown_P.bin.5	90.73	21.42	35.52	NZ_FMUJ01000014.1 Variovorax sp. EL159, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCA_945860785.1	Brown_P.bin.5	90.66	20.69	30.37	CAMATD010000001.1 MAG: Variovorax sp. YR752 isolate LH-05nov19-184 genome assembly, contig: LH-05nov19-C182, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_900112425.1	Brown_P.bin.5	90.63	16.77	34.96	NZ_FOLP01000066.1 Variovorax sp. OK212, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_900115685.1	Brown_P.bin.5	90.56	20.07	35.42	NZ_FOXJ01000014.1 Variovorax sp. 770b2, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_016405905.1	Brown_P.bin.5	90.54	19.77	32.14	NZ_JAEFCB010000010.1 Variovorax sp. IB41 NODE_10_length_258874_cov_59.240036, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003852515.1	Brown_P.bin.5	90.51	17.94	30.45	NZ_QAJK01000001.1 Variovorax sp. KBW07 KBW7_CAGATC_contig_1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_022009635.1	Brown_P.bin.5	90.51	17.75	33.43	NZ_CP091716.1 Variovorax paradoxus strain IPSP_MA_2 chromosome	Brown_NODE_307_length_12951_cov_4.276442
GCF_024734665.1	Brown_P.bin.5	90.51	19.70	34.02	NZ_CP102931.1 Variovorax paradoxus strain JBCE486 chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_014302995.1	Brown_P.bin.5	90.51	20.06	35.10	NZ_CP060295.1 Variovorax sp. PAMC26660 chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_001591345.1	Brown_P.bin.5	90.46	16.98	27.03	NZ_BCUS01000001.1 Variovorax boronicumulans NBRC 103145, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_017161115.1	Brown_P.bin.5	90.45	19.47	33.04	NZ_CP046508.1 Variovorax sp. RKNM96 chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_003019815.1	Brown_P.bin.5	90.45	19.20	31.89	NZ_CP027773.1 Variovorax sp. PMC12 chromosome 1, complete sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_001425205.1	Brown_P.bin.5	90.41	18.98	27.25	NZ_LMDW01000001.1 Variovorax sp. Root411 contig_1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_002754375.1	Brown_P.bin.5	90.40	16.42	25.83	NZ_PEFF01000001.1 Variovorax sp. 54 Ga0181127_11, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_009498455.1	Brown_P.bin.5	90.36	15.81	27.28	NZ_CP045644.1 Variovorax paradoxus strain 5C-2 chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_024701975.1	Brown_P.bin.5	90.36	18.50	31.67	NZ_JANLNM010000010.1 Variovorax sp. ZS18.2.2 NODE_10_length_272840_cov_49.641158, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_000834655.1	Brown_P.bin.5	90.27	18.39	30.06	NZ_JXQQ01000001.1 Variovorax paradoxus strain MEDvA23 contig_1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003965815.1	Brown_P.bin.5	90.27	15.41	22.99	NZ_RXOE01000001.1 Variovorax gossypii strain DSM 100435 1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_000184745.1	Brown_P.bin.5	90.27	18.84	29.22	NC_014931.1 Variovorax paradoxus EPS, complete sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003952185.1	Brown_P.bin.5	90.22	17.64	30.13	NZ_RXFS01000001.1 Variovorax sp. 679 1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_000282635.1	Brown_P.bin.5	90.17	19.49	27.82	NZ_AKIW01000001.1 Variovorax sp. CF313 PMI12_contig_7.7, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCA_913776885.1	Brown_P.bin.5	90.17	15.64	20.29	CAJYQC010000001.1 uncultured Variovorax sp. isolate SP61_3_metabat2_genome_mining.37_sub genome assembly, contig: k127_501481, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_001426505.1	Brown_P.bin.5	90.17	18.76	25.54	NZ_LMEV01000001.1 Variovorax sp. Root473 contig_1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_001591365.1	Brown_P.bin.5	90.12	16.19	25.55	NZ_BCUT01000001.1 Variovorax paradoxus NBRC 15149, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003952165.1	Brown_P.bin.5	90.08	16.46	28.01	NZ_RXFT01000001.1 Variovorax guangxiensis strain DSM 27352 1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_013376045.1	Brown_P.bin.5	90.00	16.60	29.17	NZ_JABMJG010000001.1 Variovorax sp. SG517 Ga0365335_01, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003951285.1	Brown_P.bin.5	89.99	15.90	25.47	NZ_RXFQ01000001.1 Variovorax beijingensis strain 502 1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCA_016806145.1	Brown_P.bin.5	89.97	10.31	23.05	CP063166.1 Variovorax paradoxus strain VAI-C chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_000463015.1	Brown_P.bin.5	89.87	15.31	25.92	NC_022247.1 Variovorax paradoxus B4 chromosome 1, complete sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_009755665.1	Brown_P.bin.5	89.78	14.41	19.03	NZ_CP046622.1 Variovorax paradoxus strain CSUSB chromosome, complete genome	Brown_NODE_307_length_12951_cov_4.276442
GCF_023195515.1	Brown_P.bin.5	89.76	14.13	19.99	NZ_JALPKR020000002.1 Variovorax sp. S2 strain S12S4 tig00000002, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_003984625.1	Brown_P.bin.5	89.75	15.58	19.37	NZ_RWKH01000001.1 Variovorax sp. DXTD-1 1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_007828835.1	Brown_P.bin.5	89.71	15.08	24.79	NZ_VIVL01000001.1 Variovorax beijingensis strain T529 Ga0310718_101, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_000382045.1	Brown_P.bin.5	89.70	15.37	27.36	NZ_KB907450.1 Variovorax paradoxus 110B G369DRAFT_scaffold00001.1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_001424835.1	Brown_P.bin.5	89.68	13.78	18.75	NZ_LMCQ01000001.1 Variovorax sp. Root318D1 contig_1, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_018614875.1	Brown_P.bin.5	89.66	15.03	19.89	NZ_JAGGNW010000009.1 Variovorax paradoxus strain ISL-81 ISL81_10, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCF_900099805.1	Brown_P.bin.5	89.63	13.41	20.58	NZ_FNDR01000036.1 Variovorax sp. OV700, whole genome shotgun sequence	Brown_NODE_307_length_12951_cov_4.276442
GCA_003161205.1	Brown_W.bin.1	99.34	62.15	75.37	PMOU01000273.1 MAG: Actinobacteria bacterium isolate palsa_462 73.20110600_P3S.21_contig_100902, whole genome shotgun sequence	Brown_NODE_57_length_32928_cov_13.267514
GCA_018268575.1	Brown_P.bin.1	89.30	12.30	16.86	JAFDWF010000100.1 MAG: Actinobacteria bacterium isolate SZAS-14 LIN-594__100__length-11397, whole genome shotgun sequence	Brown_NODE_99_length_19635_cov_4.899081
GCA_018268675.1	Brown_P.bin.1	88.70	11.69	15.68	JAFDWB010000010.1 MAG: Actinobacteria bacterium isolate SZAS-10 LIN-513__10__length-1101, whole genome shotgun sequence	Brown_NODE_99_length_19635_cov_4.899081
