Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
GCA_002355935.1	part10.bin.20	98.02	65.29	96.55	AP017895.1 Rothia aeria DNA, complete genome	part10.bin.20.fa_NODE_64_length_75958_cov_16.017259
GCF_000165735.1	part10.bin.21	98.35	78.40	96.02	NZ_GL538175.1 Megasphaera micronuciformis F0359 Scfld5, whole genome shotgun sequence	part10.bin.21.fa_NODE_29_length_103338_cov_34.950224
GCF_000775995.1	part10.bin.23	86.29	26.62	30.44	NZ_CP009227.1 Treponema sp. OMZ 838 strain OMZ 838 (ATCC 700772) chromosome, complete genome	part10.bin.23.fa_NODE_6_length_170729_cov_12.022968
GCF_017161265.1	part10.bin.23	85.63	22.74	26.13	NZ_CP031393.1 Treponema medium strain ATCC 700293 chromosome, complete genome	part10.bin.23.fa_NODE_6_length_170729_cov_12.022968
GCF_018336815.1	part10.bin.23	85.04	18.81	21.54	NZ_CP050497.1 Treponema vincentii strain OMZ 806 chromosome, complete genome	part10.bin.23.fa_NODE_6_length_170729_cov_12.022968
GCF_010365865.1	part10.bin.23	84.69	18.97	23.87	NZ_CP048020.1 Treponema vincentii strain OMZ 804 chromosome, complete genome	part10.bin.23.fa_NODE_6_length_170729_cov_12.022968
GCF_001553855.1	part10.bin.26	95.83	53.84	79.29	NZ_LQWV01000001.1 Streptococcus gordonii strain CCUG 33482 contig_1, whole genome shotgun sequence	part10.bin.26.fa_NODE_711_length_28910_cov_10.497903
GCA_001578795.1	part10.bin.26	95.28	47.54	72.09	KQ969106.1 Streptococcus gordonii strain DD07 genomic scaffold scaffold00001, whole genome shotgun sequence	part10.bin.26.fa_NODE_711_length_28910_cov_10.497903
GCF_000174755.1	part10.bin.28	97.40	68.95	78.73	NZ_ACLQ01000037.1 Capnocytophaga gingivalis ATCC 33624 ctg1117755535635, whole genome shotgun sequence	part10.bin.28.fa_NODE_443_length_35495_cov_17.006208
GCF_000220255.1	part10.bin.3	98.53	75.19	88.30	NZ_GL982513.1 Prevotella pallens ATCC 700821 SCAFFOLD1, whole genome shotgun sequence	part10.bin.3.fa_NODE_48_length_84872_cov_117.370456
