Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
part10.bin.20	69.52	0.28	Neural Network (Specific Model)	11	0.849	13509	306.9157894736842	1750494	0.58	1615	180	75958	None
part10.bin.21	79.11	0.28	Neural Network (Specific Model)	11	0.871	30302	299.5382416011437	1441484	0.46	1399	85	103338	None
part10.bin.23	95.64	1.1	Neural Network (Specific Model)	11	0.876	35451	331.86309238870274	2368257	0.45	2089	97	170729	None
part10.bin.26	64.82	4.98	Neural Network (Specific Model)	11	0.897	11150	293.6651069518717	1466094	0.41	1496	184	28910	None
part10.bin.28	87.11	1.08	Neural Network (Specific Model)	11	0.871	7347	288.6574585635359	2335280	0.4	2353	424	35495	None
part10.bin.3	99.88	1.54	Neural Network (Specific Model)	11	0.842	23668	335.12539184952976	2663156	0.37	2233	175	84872	None
part10.bin.33	77.39	0.86	Neural Network (Specific Model)	11	0.885	6878	325.32329029172644	2301803	0.45	2091	439	27841	None
part10.bin.4	89.92	1.08	Gradient Boost (General Model)	4	0.904	9022	278.68432432432434	853820	0.37	925	130	36693	None
part10.bin.41	75.84	0.34	Neural Network (Specific Model)	11	0.85	13102	333.03470588235297	1995853	0.42	1700	213	50034	None
part10.bin.49	95.93	1.55	Neural Network (Specific Model)	11	0.891	33991	307.96057745696834	1865100	0.41	1801	91	106067	None
part10.bin.55	50.06	2.2	Gradient Boost (General Model)	11	0.845	8642	167.7544790975448	885446	0.25	1507	161	22718	None
part10.bin.60	66.57	0.48	Neural Network (Specific Model)	11	0.901	2740	263.8156739811912	1398354	0.49	1595	564	10601	None
part10.bin.62	86.53	1.01	Neural Network (Specific Model)	11	0.854	10059	282.5308764940239	1990082	0.6	2008	268	34630	None
part10.bin.66	99.65	0.01	Neural Network (Specific Model)	11	0.885	22305	354.0395977372722	1907689	0.43	1591	130	60996	None
part10.bin.67	84.6	1.68	Neural Network (Specific Model)	11	0.883	18073	351.05789152955515	1955009	0.54	1641	180	57320	None
part10.bin.7	99.56	0.1	Neural Network (Specific Model)	11	0.906	53212	342.23566308243727	2524668	0.49	2232	93	135257	None
part11.bin.10	63.38	4.98	Neural Network (Specific Model)	11	0.891	4454	272.45661157024796	1329628	0.36	1452	362	18774	None
part11.bin.14	90.26	0.73	Gradient Boost (General Model)	11	0.87	23474	313.9073469387755	2647566	0.39	2450	230	82844	None
part11.bin.17	89.71	1.63	Neural Network (Specific Model)	11	0.859	12028	299.9972160356347	1879495	0.3	1796	222	65410	None
part11.bin.18	98.15	1.12	Gradient Boost (General Model)	11	0.912	47529	319.3542210617929	1205639	0.27	1149	49	135071	None
part11.bin.19	63.11	1.51	Neural Network (Specific Model)	11	0.904	3710	263.85803571428573	979192	0.38	1120	290	9543	None
part11.bin.2	64.88	1.3	Gradient Boost (General Model)	11	0.83	5422	288.3379663496708	1422277	0.44	1367	321	21495	None
part11.bin.23	87.52	0.15	Gradient Boost (General Model)	11	0.897	28353	340.12953692115144	1815379	0.46	1598	118	75150	None
part11.bin.24	73.23	1.94	Neural Network (Specific Model)	11	0.847	9111	350.53819444444446	2141466	0.42	1728	302	34788	None
part11.bin.26	89.01	0.71	Neural Network (Specific Model)	11	0.888	20324	324.9482503696402	2223697	0.65	2029	260	81067	None
part11.bin.27	71.28	5.17	Neural Network (Specific Model)	11	0.892	8479	297.8069883527454	601201	0.41	601	90	25331	None
part11.bin.29	62.4	1.72	Neural Network (Specific Model)	11	0.88	2806	233.96871444823663	1400075	0.39	1758	535	20950	None
part13.bin.1	97.86	1.07	Neural Network (Specific Model)	11	0.913	23892	328.65634674922603	2439318	0.4	2261	181	88113	None
part13.bin.11	99.37	0.34	Gradient Boost (General Model)	11	0.88	28982	326.48354600402956	1655867	0.38	1489	90	139756	None
part13.bin.14	84.2	0.68	Neural Network (Specific Model)	11	0.918	11273	316.08162031438934	1704579	0.57	1654	210	57147	None
part13.bin.16	94.48	3.67	Gradient Boost (General Model)	4	0.864	12690	280.1291739894552	1104790	0.38	1138	139	45665	None
part13.bin.20	93.95	0.69	Neural Network (Specific Model)	11	0.868	11503	325.108077994429	2014706	0.41	1795	254	39930	None
part13.bin.24	97.72	0.19	Neural Network (Specific Model)	11	0.913	64689	291.95549374130735	688268	0.43	719	21	190157	None
part13.bin.28	93.22	0.04	Neural Network (Specific Model)	11	0.896	20361	349.0473251028807	2268219	0.45	1944	175	95332	None
part13.bin.30	90.39	1.74	Gradient Boost (General Model)	11	0.941	7578	297.54405286343615	1718450	0.4	1816	304	26763	None
part13.bin.32	89.93	0.04	Neural Network (Specific Model)	11	0.863	8803	282.92809139784947	1460132	0.36	1488	240	51478	None
part13.bin.4	94.03	0.31	Gradient Boost (General Model)	11	0.872	58285	363.64904988123516	2101978	0.53	1684	69	162076	None
part13.bin.41	97.79	1.7	Neural Network (Specific Model)	11	0.893	73705	324.864	1634526	0.41	1500	49	141720	None
part13.bin.43	99.08	0.29	Neural Network (Specific Model)	11	0.877	19244	327.6449143273788	3069542	0.69	2743	288	72947	None
part13.bin.46	99.18	0.2	Neural Network (Specific Model)	11	0.88	85091	291.0132612966601	2013746	0.45	2036	43	229780	None
part13.bin.48	84.32	0.79	Neural Network (Specific Model)	11	0.909	6850	309.29322268326416	2210514	0.42	2169	428	26135	None
part13.bin.55	90.87	0.58	Neural Network (Specific Model)	11	0.876	11640	345.875	2301241	0.55	1944	282	42906	None
part13.bin.57	94.6	0.36	Neural Network (Specific Model)	11	0.853	39259	352.9917874396135	2565211	0.48	2070	145	115038	None
part13.bin.59	97.71	0.23	Neural Network (Specific Model)	11	0.842	19436	333.3190644307149	2685311	0.57	2266	199	73387	None
part13.bin.7	100.0	0.67	Neural Network (Specific Model)	11	0.894	41730	316.7001668056714	2543467	0.57	2398	106	130309	None
part13.bin.8	61.96	2.07	Neural Network (Specific Model)	11	0.892	5484	287.715611814346	1145281	0.3	1185	240	30145	None
part13.bin.9	98.09	0.14	Neural Network (Specific Model)	11	0.915	54313	325.0160592958616	1722592	0.4	1619	76	105744	None
part15.bin.10	77.44	2.45	Neural Network (Specific Model)	11	0.825	12994	283.5570987654321	2001735	0.52	1944	243	38280	None
part15.bin.12	88.62	0.02	Neural Network (Specific Model)	11	0.895	18224	311.71443624868283	1980063	0.43	1898	155	63846	None
part15.bin.8	67.07	0.29	Neural Network (Specific Model)	11	0.864	5370	270.994750656168	1431352	0.39	1524	351	59248	None
part17.bin.1	87.65	1.53	Neural Network (Specific Model)	11	0.91	9318	312.2733655111891	2342873	0.38	2279	317	30188	None
part17.bin.15	91.88	0.35	Neural Network (Specific Model)	11	0.926	9110	287.81609195402297	1701852	0.37	1827	240	32299	None
part17.bin.27	99.82	0.02	Neural Network (Specific Model)	11	0.867	146538	368.3446830801467	2430208	0.38	1909	23	366527	None
part17.bin.28	56.22	10.04	Gradient Boost (General Model)	11	0.935	2116	244.21728545343882	1283235	0.57	1643	633	5788	None
